timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,29,-237,-92,13,60,-2
5,31,-237,-93,8,63,-1
10,33,-237,-91,5,67,0
15,31,-238,-89,4,69,-1
20,32,-239,-91,5,73,-2
25,31,-238,-104,6,78,-3
30,29,-237,-93,7,81,-7
35,30,-242,-90,7,84,-5
40,32,-239,-86,6,86,-6
45,30,-240,-89,6,89,-5
50,34,-241,-90,2,91,-8
55,32,-239,-89,1,93,-7
60,31,-239,-91,-1,95,-7
65,31,-240,-89,-1,96,-4
70,30,-240,-91,0,97,-6
75,29,-239,-89,2,97,-6
80,32,-242,-91,3,97,-6
85,29,-241,-88,5,95,-4
90,30,-242,-90,7,96,-4
95,27,-240,-86,11,95,-3
100,29,-240,-89,12,95,-4
105,30,-243,-88,12,97,-3
110,32,-239,-89,13,98,-5
115,20,-241,-96,13,98,-3
120,17,-249,-95,10,98,-6
125,31,-238,-85,8,98,-6
130,15,-250,-84,8,99,-8
135,27,-245,-97,9,99,-5
140,31,-241,-73,8,100,-8
145,25,-238,-84,8,101,-7
150,24,-242,-93,8,100,-9
155,31,-237,-88,8,99,-8
160,32,-234,-77,8,98,-9
165,26,-238,-83,9,93,-6
170,28,-237,-88,9,91,-8
175,28,-248,-88,10,90,-5
180,17,-246,-86,9,90,-7
185,28,-241,-85,8,86,-4
190,30,-245,-93,5,86,-5
195,46,-225,-74,1,85,-3
200,28,-239,-89,-5,84,-5
205,29,-240,-89,-12,83,-3
210,27,-238,-90,-21,83,-6
215,31,-239,-83,-27,83,-3
220,23,-242,-87,-32,85,-5
225,27,-239,-87,-34,85,-4
230,30,-240,-86,-34,87,-7
235,31,-241,-87,-30,89,-6
240,30,-241,-86,-23,90,-8
245,29,-240,-83,-18,92,-7
250,33,-244,-89,-14,92,-8
255,30,-242,-85,-11,92,-6
260,33,-238,-89,-5,90,-8
265,32,-241,-85,-2,89,-5
270,30,-239,-90,-2,91,-8
275,32,-241,-90,1,90,-4
280,29,-240,-88,-1,92,-4
285,30,-240,-85,-2,93,-1
290,31,-238,-88,-4,95,-2
295,31,-240,-91,-7,96,0
300,31,-238,-83,-11,96,-2
305,30,-241,-86,-13,96,-1
310,31,-240,-84,-14,96,-4
315,31,-240,-86,-17,98,-2
