timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-12,-256,-26,-13,3,-7
5,-14,-254,-27,-9,4,-7
10,-13,-259,-21,-7,4,-10
15,-15,-258,-28,-5,4,-10
20,-15,-255,-26,-3,7,-9
25,-12,-256,-21,-4,11,-7
30,-13,-254,-25,-4,16,-5
35,-12,-259,-23,-6,18,-2
40,-13,-257,-21,-8,21,-2
45,-13,-254,-24,-9,21,-2
50,-11,-255,-20,-9,20,-2
55,-9,-257,-23,-9,19,-1
60,-13,-253,-20,-10,14,0
65,-13,-254,-26,-10,12,0
70,-10,-257,-26,-10,7,-2
75,-11,-257,-28,-13,2,-3
80,-11,-252,-22,-15,-2,-1
85,-13,-253,-24,-17,-4,-1
90,-15,-254,-28,-18,-4,1
95,-11,-254,-28,-18,-3,2
100,-10,-259,-31,-16,-1,3
105,-15,-253,-25,-15,2,3
110,-12,-256,-26,-15,6,3
115,-11,-255,-23,-14,10,4
120,-12,-258,-25,-14,9,5
125,-14,-256,-25,-15,11,5
130,-16,-263,-21,-14,10,3
135,-14,-257,-25,-15,9,3
140,-10,-255,-25,-17,8,2
145,-10,-259,-29,-17,9,2
150,-11,-256,-24,-17,9,0
155,-11,-258,-22,-19,11,-1
160,-11,-254,-24,-20,10,0
165,-12,-257,-26,-21,11,-1
170,-14,-253,-24,-23,11,2
175,-11,-257,-26,-22,12,1
180,-12,-255,-22,-20,12,2
185,-12,-255,-25,-16,13,2
190,-15,-254,-26,-14,13,3
195,-12,-255,-26,-14,14,3
200,-11,-255,-21,-15,14,3
205,-10,-253,-24,-16,14,2
210,-10,-256,-24,-18,13,0
215,-10,-256,-25,-18,12,1
220,-12,-256,-29,-19,12,-1
225,-14,-251,-25,-19,12,0
230,-10,-254,-25,-20,12,-3
235,-12,-255,-23,-22,14,-3
240,-11,-251,-36,-22,15,-3
245,-10,-255,-26,-24,17,-4
250,-9,-255,-28,-26,20,-7
255,-7,-255,-27,-27,22,-7
260,-12,-256,-27,-26,25,-7
265,-11,-253,-27,-24,27,-6
270,-9,-256,-25,-22,29,-8
275,-10,-256,-24,-17,29,-8
280,-14,-254,-21,-13,32,-9
285,-12,-256,-27,-13,36,-8
290,-12,-256,-26,-12,38,-8
295,-12,-256,-26,-13,38,-9
300,-11,-254,-25,-15,39,-10
305,-10,-258,-28,-17,39,-10
310,-11,-257,-29,-21,41,-9
315,-12,-257,-22,-21,41,-11
320,-13,-256,-25,-20,43,-9
325,-12,-254,-28,-18,42,-11
330,-8,-254,-23,-16,46,-11
335,-14,-256,-24,-14,46,-11
340,-12,-256,-26,-13,49,-11
345,-11,-255,-23,-12,50,-10
350,-17,-253,-21,-14,50,-12
355,-12,-257,-27,-14,52,-12
360,-12,-256,-26,-15,54,-11
365,-10,-256,-28,-15,55,-13
370,-10,-256,-25,-14,56,-12
375,-10,-257,-23,-14,57,-13
380,-10,-257,-24,-13,58,-14
385,-9,-256,-25,-12,60,-14
390,-11,-257,-25,-12,61,-14
395,-10,-258,-22,-9,61,-15
400,-13,-256,-22,-7,63,-15
405,-12,-255,-24,-5,65,-15
410,-12,-257,-27,-4,67,-15
415,-10,-255,-26,-2,68,-16
420,-12,-253,-22,-2,69,-15
425,-12,-255,-27,-2,70,-15
430,-15,-254,-23,-2,71,-15
435,-10,-256,-23,-1,73,-14
440,-14,-255,-22,-2,73,-14
445,-11,-255,-23,-2,74,-13
450,-16,-251,-20,-1,74,-14
455,-10,-253,-25,1,73,-12
460,-10,-256,-26,2,73,-13
465,-8,-254,-22,1,73,-12
470,-13,-257,-25,-1,73,-12
