timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,52,-208,-123,25,11,-10
5,54,-209,-123,29,10,-11
10,54,-211,-123,34,9,-11
15,46,-207,-124,36,9,-11
20,54,-209,-126,37,7,-11
25,53,-217,-116,37,6,-10
30,52,-214,-125,34,4,-9
35,53,-210,-123,32,4,-8
40,51,-211,-124,31,4,-9
45,54,-210,-124,32,5,-11
50,51,-212,-122,36,6,-11
55,52,-211,-121,40,8,-12
60,52,-208,-121,46,9,-11
65,51,-210,-121,50,10,-10
70,55,-210,-122,53,11,-10
75,52,-209,-120,54,11,-11
80,50,-213,-118,54,12,-9
85,49,-209,-123,53,10,-11
90,51,-209,-120,49,10,-12
95,52,-211,-124,47,10,-12
100,50,-210,-124,45,9,-13
105,50,-210,-124,44,9,-14
110,53,-209,-124,42,8,-14
115,52,-209,-124,42,8,-15
120,46,-210,-122,42,6,-14
125,53,-210,-121,41,5,-14
130,51,-211,-116,41,4,-13
135,54,-212,-123,43,5,-14
140,55,-212,-121,46,5,-13
145,56,-210,-124,47,6,-13
150,52,-210,-126,50,6,-13
155,52,-208,-123,50,6,-14
160,53,-209,-123,49,7,-15
165,53,-210,-125,49,6,-15
170,55,-209,-125,49,6,-16
175,52,-207,-126,49,7,-16
180,50,-209,-128,48,7,-15
185,48,-196,-124,46,9,-16
190,57,-210,-124,45,9,-16
195,55,-209,-122,43,8,-16
200,53,-208,-124,42,8,-17
205,54,-209,-125,43,8,-17
210,53,-209,-124,43,9,-19
215,53,-210,-120,43,9,-19
220,51,-208,-126,41,9,-21
225,53,-207,-122,42,11,-19
230,53,-209,-125,39,10,-18
235,52,-210,-124,38,10,-18
240,52,-211,-130,38,11,-19
245,51,-209,-124,38,10,-18
250,51,-209,-122,40,9,-18
255,50,-208,-125,39,10,-16
260,52,-208,-125,39,9,-16
265,54,-211,-123,36,9,-15
270,49,-210,-127,36,7,-13
275,50,-206,-127,38,7,-17
280,55,-208,-120,40,9,-17
285,52,-208,-129,42,10,-15
290,50,-206,-124,44,9,-16
295,48,-207,-124,47,11,-18
300,52,-207,-125,46,8,-17
305,49,-208,-124,45,6,-17
310,53,-204,-124,45,7,-16
315,52,-210,-124,44,9,-15
320,53,-210,-127,43,11,-17
325,55,-211,-125,44,11,-15
330,51,-213,-120,45,13,-17
335,55,-213,-124,48,15,-17
340,51,-204,-126,52,16,-17
345,54,-208,-121,53,17,-18
350,57,-211,-122,55,18,-19
355,53,-211,-123,54,17,-19
360,51,-209,-124,52,18,-22
365,51,-208,-122,49,17,-23
370,54,-213,-121,47,16,-22
375,54,-209,-125,45,17,-21
380,51,-211,-126,44,16,-22
385,52,-211,-121,43,14,-21
390,54,-211,-122,44,14,-21
395,51,-207,-126,45,12,-18
400,54,-209,-123,45,11,-18
405,49,-204,-126,47,12,-16
410,51,-210,-127,48,11,-17
415,55,-210,-123,50,10,-16
420,55,-210,-123,52,10,-17
425,53,-213,-123,52,12,-17
430,52,-209,-123,53,13,-17
435,52,-210,-123,52,12,-17
440,53,-211,-123,53,13,-19
445,52,-211,-121,55,12,-19
450,51,-210,-123,56,14,-18
455,53,-209,-128,57,14,-19
460,52,-210,-122,57,14,-20
465,50,-205,-127,58,13,-21
470,56,-211,-121,61,14,-22
475,51,-208,-123,61,14,-19
480,52,-208,-125,61,14,-19
485,53,-208,-123,61,13,-18
490,50,-209,-122,58,15,-16
495,55,-209,-122,57,14,-15
500,54,-209,-123,57,14,-17
505,49,-207,-124,57,13,-16
510,52,-212,-123,58,14,-18
515,56,-210,-129,58,13,-21
520,49,-210,-122,60,12,-22
525,51,-207,-121,60,12,-23
530,54,-209,-123,60,11,-26
535,51,-207,-125,58,12,-26
540,53,-208,-123,56,10,-25
545,52,-213,-120,54,10,-26
550,51,-210,-126,50,10,-24
555,53,-209,-124,51,10,-23
560,51,-209,-119,53,10,-21
